"scientific_name","decimal_latitude","decimal_longitude","where_obtained_coordinates","total_num_specimens"
"Augochlorella aurata","35.867","-78.648","dataset provided",8
"Augochlorella aurata","35.871","-78.763","dataset provided",5
"Augochlorella aurata","35.88333333","-78.75","google earth",1
"Augochlorella aurata","35.892","-78.704","dataset provided",2
"Augochlorella aurata","35.89361111","-78.73083333","dataset provided",13
"Augochlorella aurata","35.932","-78.686","dataset provided",2
"Augochlorella aurata","35.93333333","-78.56666667","google earth",3
"Augochlorella aurata","35.99388889","-78.7","dataset provided",9
"Augochlorella gratiosa","35.75","-78.66","dataset provided",1
"Augochlorella gratiosa","35.76666667","-78.63333333","google earth - Raleigh",73
"Augochlorella gratiosa","35.76666667","-78.73333333","google earth",1
"Augochlorella gratiosa","35.77194","-78.63889","dataset provided",1
"Augochlorella gratiosa","35.77209","-78.63861","dataset provided",1
"Augochlorella gratiosa","35.8","-78.55","google earth - Wake County",1
"Augochloropsis anonyma","35.76666667","-78.63333333","google earth - Raleigh",1
"Augochloropsis metallica","35.7","-78.6","google earth - Garner",1
"Augochloropsis metallica","35.7502","-78.6605","dataset provided",1
"Augochloropsis metallica","35.76666667","-78.63333333","google earth - Raleigh",50
"Augochloropsis metallica","35.781","-78.639","dataset provided",2
"Augochloropsis metallica","35.79","-78.65","dataset provided",1
"Augochloropsis metallica","35.8","-78.55","google earth - Wake County",3
"Augochloropsis metallica","35.88333333","-78.75","google earth",6
"Augochloropsis metallica","35.89","-78.75","dataset provided",1
"Augochloropsis sumptuosa","35.76666667","-78.63333333","google earth - Raleigh",3
"Bombus affinis","35.76666667","-78.63333333","google earth - Raleigh",3
"Bombus affinis","35.77973938","-78.64340973","dataset provided",8
"Bombus affinis","35.781","-78.639","dataset provided",1
"Bombus affinis","35.8","-78.55","google earth - wake county",1
"Bombus auricomus","35.76666667","-78.63333333","google earth - Raleigh",5
"Bombus auricomus","35.772","-78.639","dataset provided",1
"Bombus auricomus","35.781","-78.639","dataset provided",1
"Bombus bimaculatus","35.71666667","-78.68333333","dataset provided",1
"Bombus bimaculatus","35.71812","-78.90636","dataset provided",1
"Bombus bimaculatus","35.71827","-78.906255","dataset provided",1
"Bombus bimaculatus","35.725803","-78.675125","dataset provided",6
"Bombus bimaculatus","35.748","-78.687","dataset provided",5
"Bombus bimaculatus","35.75","-78.66","dataset provided",2
"Bombus bimaculatus","35.7502","-78.6605","dataset provided",4
"Bombus bimaculatus","35.766646","-78.71453","dataset provided",1
"Bombus bimaculatus","35.76666667","-78.63333333","google earth - Raleigh",15
"Bombus bimaculatus","35.768","-78.615","dataset provided",1
